manufacturer,type,model,option,disp,hp,city_mpg,high_mpg,price,fuel,weight,class,origin
재규어,준중형,E-페이스,P250,1997,249,,,6020,가솔린,1895,SUV,nonkor
재규어,준중형,E-페이스,P250 R-Dynamic,1997,249,,,6410,가솔린,1895,SUV,nonkor
지프,소형,레니게이드,2.4 가솔린 FWD,2360,175,8.9,11.9,3390,가솔린,1460,SUV,nonkor
지프,소형,레니게이드,2.4 가솔린 AWD,2360,175,8,11.3,3990,가솔린,1585,SUV,nonkor
지프,소형,레니게이드,2.0 디젤 AWD,1956,170,10.5,13.7,4340,디젤,1665,SUV,nonkor
지프,중형,랭글러 4도어,2.0 가솔린 터보,1995,272,8.3,10,4940,가솔린,1940,SUV,nonkor
캐딜락,대형,에스컬레이드,V8 럭셔리 A/T,6162,426,6,8.5,12833,가솔린,2650,SUV,nonkor
캐딜락,대형,에스컬레이드,V8 플래티넘 A/T,6162,426,6,8.5,13817,가솔린,2650,SUV,nonkor
캐딜락,중형,XT5,3.6 가솔린,3649,314,,,6605,가솔린,2030,SUV,nonkor
토요타,준중형,라브4 하이브리드,2.5 HEV,2487,178,16.5,15.1,3930,하이브리드,1645,SUV,nonkor
토요타,준중형,라브4 하이브리드,2.5 HEV AWD,2487,178,16.2,14.6,4580,하이브리드,1720,SUV,nonkor
토요타,준중형,라브4,2.5 가솔린,2487,207,10.1,13.6,3540,가솔린,1535,SUV,nonkor
포르쉐,준대형,카이엔,3.0 V6,2995,340,,,10020,가솔린,2135,SUV,nonkor
포르쉐,중형,마칸,2.0 A/T,1984,237,8,10.5,7560,가솔린,1845,SUV,nonkor
혼다,소형,HR-V,1.8 가솔린,1799,143,12.1,14.6,3190,가솔린,1340,SUV,nonkor
혼다,준중형,CR-V,1.5 가솔린,1498,190,11.3,14.2,3690,가솔린,1532,SUV,nonkor
혼다,준중형,CR-V,1.5 가솔린 4WD,1498,190,10.4,13.1,3930,가솔린,1584,SUV,nonkor
혼다,준대형,파일럿,3.5 가솔린,3471,284,7.4,10,5490,가솔린,1950,SUV,nonkor
BMW,대형,7시리즈 플러그인 하이브리드,745e sDrive,2998,286,,,14670,하이브리드,1995,세단,nonkor
BMW,대형,7시리즈 플러그인 하이브리드,745Le sDrive,2998,286,,,16210,하이브리드,2035,세단,nonkor
BMW,대형,7시리즈,730d xDrive,2993,265,,,13700,디젤,1880,세단,nonkor
BMW,대형,7시리즈,740d xDrive,2993,320,,,14680,디젤,1915,세단,nonkor
BMW,대형,7시리즈,730Ld xDrive,2993,265,,,14800,디젤,1930,세단,nonkor
BMW,대형,7시리즈,740Li xDrive,2998,340,,,16200,가솔린,,세단,nonkor
BMW,대형,7시리즈,740Ld xDrive,2993,320,,,16290,디젤,1950,세단,nonkor
BMW,대형,7시리즈,750Li xDrive,4395,530,,,19700,가솔린,2000,세단,nonkor
BMW,대형,7시리즈,M760Li xDrive,6592,585,,,23220,가솔린,2220,세단,nonkor
BMW,중형,3시리즈,320d,1995,190,13,16.2,5320,디젤,1640,세단,nonkor
BMW,중형,3시리즈,320d xDrive,1995,190,,,5620,디젤,1695,세단,nonkor
BMW,중형,3시리즈,330i,1998,258,,,6020,가솔린,1620,세단,nonkor
BMW,중형,3시리즈,330i xDrive,1998,258,,,6320,가솔린,1695,세단,nonkor
BMW,준대형,M5,4.4 V8,4395,608,7.2,9.5,14510,가솔린,1940,세단,nonkor
